"cgHdId","startDtEarly","startDtLate","endDtEarly","endDtLate","phenYear","cgPlaId","phenNote","start","end","hdCt","start.numeric","duration","midpoint","mid.yday","DAM","z","z.start","year.pop","year.pop.prop"
2008000614,"2008-07-28","2008-07-28","2008-08-14","2008-08-14",2008,1,"","2008-07-28","2008-08-14",1,14088,17,"2008-08-05",217,11,1.9883805231564,1.92216228553848,142,0.102453102453102
2009000493,"2009-07-04","2009-07-04","2009-07-21","2009-07-21",2009,1,"","2009-07-04","2009-07-21",1,14429,17,"2009-07-12",192,-1,-0.424590081875692,-0.240485159259771,148,0.106782106782107
NA,"2010-07-12","2010-7-12 0:00:00","2010-7-24 0:00:00","2010-07-24",2010,1,"","2010-07-12","2010-07-24",1,14802,12,"2010-07-18",198,11,2.76383087841,2.79179909953951,100,0.0721500721500721
2011000872,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",2011,1,"","2011-07-14","2011-07-30",2,15169,16,"2011-07-22",202,0,-0.0148990399093285,-0.164658405605588,188,0.135642135642136
2012000275,"2012-06-28","2012-06-28","2012-07-07","2012-07-07",2012,1,"","2012-06-28","2012-07-07",1,15519,9,"2012-07-02",183,-1,-0.207482994632312,0.143094516642595,47,0.0339105339105339
2013000646,"2013-07-24","2013-07-24","2013-08-09","2013-08-09",2013,1,"","2013-07-24","2013-08-09",1,15910,16,"2013-08-01",212,5,0.956640398243741,1.11134783615205,107,0.0772005772005772
2014000001,"2014-07-13","2014-07-13","2014-07-28","2014-07-28",2014,1,"","2014-07-13","2014-08-02",2,16264,20,"2014-07-23",203,6,1.3709613701078,0.716632817566403,90,0.0649350649350649
2006000702,"2006-07-09","2006-07-09","2006-07-19","2006-07-20",2006,2,"","2006-07-09","2006-07-20",1,13338,11,"2006-07-14",194,2,0.437082941207673,0.905727160916265,150,0.108225108225108
2014000003,"2014-07-10","2014-07-10","2014-07-22","2014-07-22",2014,2,"","2014-07-10","2014-07-22",1,16261,12,"2014-07-16",196,-1,-0.277331880212646,-0.0107764333468649,90,0.0649350649350649
2005000107,"2005-07-11","2005-07-11","2005-07-22","2005-07-22",2005,3,"","2005-07-08","2005-07-22",2,12972,14,"2005-07-15",195,4,0.840755252345694,0.764926707099091,104,0.075036075036075
2006000697,"2006-06-27","2006-06-27","2006-07-11","2006-07-12",2006,3,"","2006-06-27","2006-07-22",4,13326,25,"2006-07-09",189,-3,-0.685561599565465,-1.46046861506237,150,0.108225108225108
2007000262,"2007-06-25","2007-06-25","2007-07-09","2007-07-10",2007,3,"","2007-06-25","2007-07-10",3,13689,15,"2007-07-02",182,-1,-0.37723655156682,-0.317076517638117,175,0.126262626262626
2008000608,"2008-07-25","2008-07-25","2008-08-08","2008-08-08",2008,3,"","2008-07-14","2008-08-08",6,14074,25,"2008-07-26",207,1,0.172624675643805,-0.565636297567311,142,0.102453102453102
2009000490,"2009-07-05","2009-07-05","2009-07-20","2009-07-20",2009,3,"","2009-07-05","2009-07-23",2,14430,18,"2009-07-14",194,1,0.076121727826322,0.0637182900602786,148,0.106782106782107
2007000260,"2007-06-26","2007-06-27","2007-07-09","2007-07-10",2007,4,"","2007-06-26","2007-07-10",1,13690,14,"2007-07-03",183,0,-0.0825204956552421,0.0409130990500851,175,0.126262626262626
2011000868,"2011-07-14","2011-07-18","2011-07-25","2011-07-25",2011,4,"","2011-07-12","2011-07-30",4,15167,18,"2011-07-21",201,-1,-0.295000990204745,-0.676324194925441,188,0.135642135642136
2013000644,"2013-07-17","2013-07-17","2013-07-26","2013-07-26",2013,4,"","2013-07-16","2013-07-26",2,15902,10,"2013-07-21",201,-6,-1.44413944980078,-0.846087858798886,107,0.0772005772005772
2006000693,"2006-07-12","2006-07-12","2006-07-25","2006-07-26",2006,5,"","2006-07-10","2006-07-26",2,13339,16,"2006-07-18",198,6,1.33519857382618,1.10291014224782,150,0.108225108225108
2007000258,"2007-06-28","2007-06-29","2007-07-09","2007-07-10",2007,5,"","2007-06-28","2007-07-10",1,13692,12,"2007-07-04",184,1,0.212195560256336,0.756892332426489,175,0.126262626262626
2008000607,"2008-07-28","2008-07-28","2008-08-06","2008-08-06",2008,5,"","2008-07-28","2008-08-06",1,14088,9,"2008-08-01",213,7,1.26207818415136,1.92216228553848,142,0.102453102453102
2006000690,"2006-07-05","2006-07-05","2006-07-17","2006-07-18",2006,6,"","2006-07-05","2006-07-18",2,13334,13,"2006-07-11",191,-1,-0.23650378325621,0.116995235590055,150,0.108225108225108
2011000867,"2011-07-20","2011-07-24","2011-07-26","2011-07-30",2011,11,"","2011-07-20","2011-07-30",1,15175,10,"2011-07-25",205,3,0.82540681097692,1.37033896235397,188,0.135642135642136
2015000590,"2015-07-18","2015-07-18","2015-07-25","2015-07-26",2015,11,"","2015-07-18","2015-08-13",2,16634,26,"2015-07-31",211,7,1.59483211639769,0.247385561932215,135,0.0974025974025974
2005000104,"2005-07-10","2005-07-10","2005-07-20","2005-07-20",2005,12,"","2005-07-10","2005-07-20",1,12974,10,"2005-07-15",195,4,0.840755252345694,1.24271876438621,104,0.075036075036075
2007000253,"2007-06-25","2007-06-25","2007-07-07","2007-07-08",2007,12,"","2007-06-25","2007-07-10",2,13689,15,"2007-07-02",182,-1,-0.37723655156682,-0.317076517638117,175,0.126262626262626
NA,"2010-07-06","2010-7-6 0:00:00","2010-7-15 0:00:00","2010-07-15",2010,12,"","2010-07-06","2010-07-15",1,14796,9,"2010-07-10",190,3,0.699344694723728,1.27999453300187,100,0.0721500721500721
2011000865,"2011-07-08","2011-07-08","2011-07-14","2011-07-18",2011,12,"","2011-07-08","2011-07-18",2,15163,10,"2011-07-13",193,-9,-2.53581659256808,-1.69965577356515,188,0.135642135642136
